family,subfamily,tribe,genus.group,subgenus,genus.species
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles aberrans
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles acaci
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles ahomi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles aitkenii
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles albotaeniatus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles algeriensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles alongensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles anchietai
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles annandalei
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles annulipalpis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles apicimacula
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles arboricola
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles argyropus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles artemievi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles asiaticus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles atratipes
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles atroparvus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles atropos
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles aztecus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles baezai
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles baileyi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles balerensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles bancroftii
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles barberi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles barbirostris
