Unique_Habitat,Habitat_Classifier
containers on ground,AC
artificial containers,AC
canoes,AC
tin cans,AC
artifical containers,AC
deep well,AC
barrels,AC
tank,AC
native canoes,AC
metal cistern,AC
large artificial container,AC
water drums,AC
barrel tops,AC
artifical container,AC
artificial containers with leaves,AC
watering troughs,AC
artificial containers (rare),AC
rain-water barrels,AC
rain barrels,AC
animal troughs,AC
artificial water containers,AC
large artificial containers,AC
large artifical containers,AC
small artificial containers,AC
tanks,AC
cisterns,AC
artificial containers (horse trough),AC
artificial containers (wood metal cement),AC
artificial containers,AC
latrine,AC
flooded cesspools,AC
cesspools,AC
cement containters,AC
woooden tubs,AC
tubs containing plant debris,AC
brackish cisterns,AC
tubs,AC
catch basins,AC
faulty cesspools,AC
bilge water in boats,AC
ornamental pools,AC
water in corrals and slaughter yards,AC
man-made well,AC
bilge water of boats,AC
water tanks,AC
cement tanks,AC
stone bowls,AC
flower holders,AC
shaded artificial containers,AC
earthenware jars,AC
fire barrels,AC
water jugs,AC
stone basins,AC
bowls,AC
drums,AC
benjos,AC
polluted cement water tanks (for garden irrigation or fire fighting),AC
concrete tanks,AC
wooden tanks,AC
discarded boots,AC
pails,AC
discarded tires,AC
vases,AC
wooden containers,AC
containers containing leaves or twigs,AC
holes in concrete,AC
Indian mortars,AC
artificial containers (prefecence to metal fired clay or concrete),AC
cement tanks,AC
shallow brackish well,AC
vases of cut bamboo,AC
stone vases,AC
metal jars,AC
automobile tire,AC
rusted tin,AC
small clean cement tank with leaves,AC
discarded boot,AC
tire,AC
cement catchment basins,AC
bamboo pots,AC
wells,AC
artificial containers (plastic bottles tin cans old sink tires),AC
artificial containers (plastic bottles tin cans motor-tyres),AC
native water pots,AC
clay pots,AC
artificial containers (plastic bottles),AC
tree-wells,AC
latrines,AC
septic tanks,AC
large artificial containers (drinking troughs),AC
tanks,AC
log canoe,AC
old wells,AC
artificial containers (rainwater tanks small tins old tyres),AC
garden water barrels,AC
flower pot saucers,AC
jars and bottles,AC
water butts,AC
sags in canvas,AC
drum tops,AC
helmets,AC
sawdust pile,AC
rusty tins,AC
dirty flower bowls,AC
old tank,AC
concrete wells,AC
old cattle-lick drum,AC
artificial containers (tanks tins),AC
discarded household containers,AC
cans at the edge of mangrove swamp,AC
metal container,AC
tins,AC
tyres near dock,AC
rainwater tanks,AC
septic tank,AC
fire buckets,AC
old tyres,AC
urinal hole,AC
overflow of bore and windmill,AC
town culverts,AC
road culvert,AC
horse trough,AC
shallow well (earthen walls covered with wooden slabs),AC
large containers (tins canoes),AC
cistern,AC
lavatories attached to passenger carriages,AC
tin,AC
brick- and cement-lined,AC
flower vases,AC
ant traps,AC
water holding paint brushes,AC
uncovered water drums,AC
rock wells near seashore,AC
tyres and motor parts,AC
bathroom-tanks,AC
old tin,AC
rainwater barrel,AC
beached canoes,AC
tyres,AC
wheel drum,AC
bottle,AC
tub,AC
flower pot,AC
double sink,AC
cooking pot,AC
wooden bowl,AC
sagging tents,AC
wooden frames,AC
cans,AC
hollow log drum,AC
large tin,AC
large machine,AC
eskies,AC
foam packaging,AC
aluminium container with plant cuttings,AC
metal buckets,AC
engine casting,AC
vehicle bodies,AC
unused washing machine,AC
vehicle hub cap,AC
overfull pot plants,AC
bath beneath a tree,AC
ice-cream contianers,AC
plastic buckets,AC
watering can,AC
camp oven,AC
well,AC
artificial containers (tin cans water jars buckets broken bottles tyres),AC
discarded paint pail,AC
discarded truck tyre,AC
bottles,AC
motor tyres,AC
machinery parts,AC
junk,AC
animal drinking pans,AC
ant guards,AC
metal pipes used as fence posts,AC
artificial containers,AC
latrine pits,AC
native gongs,AC
rubbish dumps,AC
tin can,AC
truck tyres,AC
house tanks,AC
tree wells,AC
cartons,AC
discarded shoes,AC
oil drums,AC
pails of clear water,AC
sardine cans,AC
wrecked aircraft,AC
old tarpaulins,AC
cans or bottles with narrowly constricted tops,AC
190-litre drums,AC
seal toilets,AC
concrete cistern,AC
metal cisterns,AC
whale oil container,AC
bucket in a bush,AC
rainwater drum,AC
iron drum,AC
small artificial container,AC
rain barrel,AC
old kettle with rainwater,AC
beached canoe,AC
oil drum,AC
uncovered wells,AC
old steel helmets,AC
rock well,AC
water barrels,AC
aircraft tyre,AC
old barrels,AC
food cans,AC
metal biscuit box,AC
tin can near creek,AC
animal water trough,AC
swimming pool,AC
bath,AC
44-gallon drums,AC
airstrips,AC
flour drum,AC
wheelbarrow,AC
tray of abandoned truck,AC
folds of rubber petrol tank,AC
upturned car mudguard,AC
wells,AC
old oil drum,AC
large container,AC
abandoned wells,AC
earthen-lined containers,AC
earthernware pots,AC
open tanks,AC
troughs,AC
river canoe,AC
ground cooking pits,AC
small rainpans,AC
rainwater drums,AC
discarded truck tyres,AC
pig-pen,AC
concrete cisterns,AC
metal tanks,AC
pans,AC
sumps,AC
privies,AC
fountains,AC
horse drinking troughs,AC
old cars,AC
water troughs full of dead leaves,AC
boats,AC
jars,AC
large discrete container,AC
cement cisterns,AC
cooking pits,AC
shallow wells,AC
wooden kegs,AC
tin food containers,AC
large cans,AC
truck trays,AC
rubber tyre,AC
urine pots,AC
large containers,AC
artificial receptacles,AC
containers,AC
bamboo pot,AC
domestic water collections,AC
stagnant horse troughs,AC
tyre,AC
terraces,AC
peri-domestic containers,AC
bucket,AC
iron tanks,AC
horse troughs,AC
car tyres,AC
refridgerator buckets,AC
refridgerator shells,AC
wooden tubs,AC
glass jars,AC
trays,AC
vine bowls,AC
beer cans,AC
small cans,AC
jam tins,AC
small wells,AC
glass jar,AC
truck mud-guard,AC
fuel drums,AC
cardboard container,AC
iron drums,AC
aeroplane wing tank,AC
dugout canoe,AC
freezer trays,AC
enamel mug,AC
billy-can,AC
bathroom pool,AC
drip pans,AC
tin helmet,AC
tires,AC
garbage pits,AC
airplane wing tank,AC
canvas,AC
pots,AC
steel helmets,AC
cardboard containers,AC
beached boats,AC
tin plates,AC
wooden buckets,AC
autotires,AC
gem pits,AC
55 gallon drum,AC
earthenware containers,AC
flower pots,AC
dipping tanks,AC
stone tanks,AC
shallow native wells,AC
dense algae growth,ALG
matted algal growths in water,ALG
pools with abundant algae and sunlight,ALG
sunlit freshwater pools with vegetation and/or algae,ALG
algal mats,ALG
clumps of filamentous green algae,ALG
dense mats of filamentous green algae,ALG
clumps of spirogyra,ALG
mats of green algae,ALG
mats of filamentous green algae,ALG
sluggish streams with vegetation (duckweed algaeetc),ALG
sluggish streams containing green algae,ALG
streams containing green algae,ALG
ground pools containing green algae,ALG
masses of algae in dense vegetation,ALG
seepage area with algae,ALG
algae in open paddock,ALG
algal streams,ALG
muddy pools with algae,ALG
algal filaments in ponds,ALG
puddles containing grass or algae,ALG
hoofprints,ATR
footprints,ATR
hoofprints in seepage areas,ATR
hoof prints,ATR
hoof print,ATR
footprints in salt marshes,ATR
moose tracks,ATR
cattle tracks,ATR
buffalo hoofprints,ATR
hoof prints in pastures located in urban areas,ATR
animal hoof prints in marshy pastures,ATR
animal tracks,ATR
animal footprints,ATR
hoofmarks,ATR
hoof marks,ATR
hoof prints with grassy margins,ATR
hoof prints along coast,ATR
shallow footprints in dense forest,ATR
hoof marks at the edge of billabongs,ATR
hoof marks near rivers and dams,ATR
hoofprints at the edge of waterholes,ATR
hoof holes,ATR
elephant hoofprints,ATR
elephant tracks,ATR
muddy footprints,ATR
boar hoofprints,ATR
elephant footprints,ATR
fresh water in elephant footprint,ATR
cattle hoofprints,ATR
foot prints,ATR
buffalo footprints,ATR
bamboo stumps,BAM
cut bamboo,BAM
bamboo (very rare),BAM
bamboo,BAM
broken or cut bamboo internodes,BAM
bamboo internodes,BAM
bamboo traps,BAM
water-holding concavities of bamboo stumps,BAM
bamboo internodes baring a small hole bored by a cerambycid beetle Abryna coenosa,BAM
broken bamboo,BAM
broken/cut bamboo,BAM
cut/bored bamboo,BAM
bamboos,BAM
bamboo stem,BAM
bamboo stems,BAM
bamboo internodes/cups,BAM
bamboo fences,BAM
split bamboo,BAM
fallen split bamboos,BAM
bamboo stump,BAM
bamboo internode,BAM
bamboo,BAM
bamboo axils,BAM
bamboo,BAM
yellow bamboo stumps,BAM
hollow bamboo,BAM
shaded bamboo internodes,BAM
shaded bamboo stumps,BAM
fallen bamboo,BAM
edges of bogs,BOG
cranberry bogs,BOG
sphagnum bog swamp,BOG
open bogs,BOG
tundra bog pools,BOG
depressions in bogs,BOG
bogs,BOG
puddles of cleared bog,BOG
ruts in bogs,BOG
bog marsh,BOG
abandoned foxhole,BP
burrow pits,BP
foxholes,BP
foxholes in pine woods,BP
rodent burrows dug at the edge of forrest swamps,BP
flooded rabbit burrows,BP
wombat burrows,BP
waterlogged rabbit warren,BP
flooded rabbit warrens,BP
fox holes,BP
flooded burrow pits,BP
burrows,BP
deeply shaded spring-fed tributary,BRK
tributaries,BRK
cut-off tributary,BRK
tributary beds,BRK
borrow pits,BWP
excavations,BWP
borrow pit,BWP
manmade borrow pits,BWP
cemetery urns,CEM
gravestones,CEM
graveyard containers,CEM
water-holding concavities of gravestones,CEM
flower pots in cemeteries,CEM
flower vases in a cemetery,CEM
cemeteries (undrained grave tops),CEM
canals,CNL
inlets of small canals with rapid currents,CNL
cut-off canals,CNL
densely shaded coral foothills of north coast,COR
coral depression,COR
coral,COR
coral holes,COR
coral rockholes,COR
coral pools,COR
coral pockets,COR
coral stone pools,COR
coral pit holes,COR
coral foothills,COR
coral depressions,COR
coral cay,COR
coral rockhole,COR
coral crevices,COR
coral rock holes,COR
coral islet,COR
small coral islands,COR
crabholes,CRH
medium to large crabholes,CRH
small crabholes,CRH
crabholes with freshwater,CRH
large crabholes,CRH
fiddler crabholes,CRH
brackish crabholes,CRH
crabholes along shaded streamlets,CRH
Land crab holes,CRH
lobsterholes,CRH
crayfish or crab hole,CRH
crabholes (mud lobster and small mangrove crab),CRH
freshwater crabholes,CRH
crabholes and lobsterholes,CRH
crayfish hole in rainforest,CRH
crab holes,CRH
small crab holes with heavy shade,CRH
fresh water crab holes,CRH
crayfish tunnels,CRH
open coastal areas,CST
coastal plains,CST
coastal plain,CST
seacoast pools,CST
coastal brackish water,CST
coastal fresh water,CST
coastal flats,CST
coastal villages,CST
coastal coconut groves,CST
inside caves,CV
cave pools,CV
impounded water habitats,DAM
grassy impoundments,DAM
reservoirs,DAM
open stock dams,DAM
forest dams and pools,DAM
dams,DAM
reservoirs,DAM
cattle dam,DAM
grassy earth dam,DAM
dam,DAM
dammed stream,DAM
margins of reservoirs,DAM
reserviors,DAM
red mud dams,DAM
farm reservoirs,DAM
salt water reservoirs,DAM
impounded river,DAM
drains,DRN
concrete drainage sumps,DRN
street drains,DRN
cement drains,DRN
gutters,DRN
sheltered roof guttering,DRN
shallow wells or soaks,DRN
grassy-edged gutters,DRN
obstructed earth drains,DRN
roof gutters,DRN
drain,DRN
grass-covered plantation drains,DRN
soak holes,DRN
stagnant drains,DRN
earth drains,DRN
shaded soakage pool,DRN
shaded drains,DRN
earthen drainage channels,DRN
blocked concrete drains,DRN
drainage pits,DRN
field drains,DRN
coffee drains,DRN
house drains,DRN
freshwater soaks,DRN
stagnant gutters,DRN
blocked drains,DRN
stafnant gutters,DRN
drainage pools,DRN
blocked drainage pools,DRN
concrete drainage pits,DRN
storm water drainage,DRN
ditches,DTH
shaded ditches,DTH
dicthes,DTH
edge of ditches,DTH
drainage ditches,DTH
permanent ditches,DTH
pit,DTH
grassy pit,DTH
shaded gullies,DTH
drainage ditches in cultivated areas,DTH
muddy ditches,DTH
forest pits,DTH
tree base pits,DTH
pits made by uprooted trees,DTH
slit trench,DTH
pits,DTH
taro pits,DTH
lubrication pit,DTH
small ditches,DTH
city moat,DTH
slit trenches,DTH
grassy ditches,DTH
gullies,DTH
ponded ditches,DTH
reedy ditches,DTH
deep ditches,DTH
flowing ditch,DTH
ponded ditch,DTH
under fallen trees,DTH
uprooted tree pits,DTH
