Record_ID,Presence-Absence,Shaded (Shaded/Semishaded/Unshaded),Saltwater (Yes/No),Habitat_1,Habitat_2,Habitat_3,Habitat_4,Habitat_5,Habitat_6,Habitat_7,Habitat_8,Habitat_9,Habitat_10,Habitat_11,Habitat_12,Habitat_13,Habitat_14,Habitat_15,Habitat_16,Habitat_17,Habitat_18,Habitat_19,Habitat_20,Habitat_21,Habitat_22,Habitat_23,Habitat_24,Habitat_25,Habitat_26,Habitat_27,Habitat_28,Habitat_29,Habitat_30,Habitat_31,Habitat_32,Habitat_33,Habitat_34,Habitat_35,Habitat_36,Habitat_37,Habitat_38,Habitat_39,Habitat_40,Habitat_41,Habitat_42,Habitat_43,Habitat_44,Habitat_45,Habitat_46,Habitat_47,Habitat_48,Habitat_49,Habitat_50,Notes
sp0000000001,Presence,,,river margins,stream margins,springs,seepage areas,ponds,lagoons,temporary ground pools of all sizes,open coastal areas,wide river valleys,brackish water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000001,Absence,,,shaded,jungles,swamps,shaded canebreak marshes,treeholes,leaf axils,coconut shells,cacao pods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000002,Presence,,,valley of large stream,rivers,road ruts,temporary pools,potholes,pools free of vegetation,pools free of flotage,coastal plains,moist soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000002,Absence,,,very muddy pools,marginal herbaceous vegetation,dense algae growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000003,Presence,,,temporary pools,Grasslands,edge of jungle,tents,native huts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000004,Presence,,,dense shade in jungle,seepage areas,stream margins,rockholes,potholes,stream beds,dense jungle swamps,temporary pools,hog wallows,hoofprints,footprints,containers on ground,open coastal areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000005,Presence,,,springs,seepage areas,small creeks,densely shaded coral foothills of north coast,floating vegetation,margins of creeks,cool jungle streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000006,Presence,,,deeply shaded jungle stream,potholes,stream beds,coral depression,blocked mouth of tributary streams of larger rivers,deeply shaded spring-fed tributary,coastal plain,temporary pools in jungle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000007,Presence,,,dead plants,living plants,artificial containers,leaf axils,bamboo stumps,treeholes,coconuts,coconut husks,fallen leaves,fronds,spathes,seed pods of various plants,canoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000008,Presence,,,small water collections in living plants,small water collections in dead plants,artificial containers,leaf axils,coconut shells,coconut spathes,large fallen leaves,fronds on ground,cut bamboo,tree stumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000008,Absence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000009,Presence,,,rock pools,stream beds,shallow ground puddles,edge of small flood stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000010,Presence,,,leaf axils,water collections in plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000011,Presence,,,dense jungle swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000012,Presence,,,jungle streams,side pools,rock pools,stream beds,springs,small pools,fresh & clear water,densely shaded areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000013,Presence,,,slightly brackish water pools,open sunlit parts of beach,crabholes,stagnant pools,swamps with Nipa palms,Forest streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000014,Presence,,,dense water,fresh water,jungle swamps,small pools,rock pools(rare),side pools,densely shaded jungle streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000015,Presence,,,ground pool,open shaded areas,some shaded areas,temporary pools,ruts,springs,jungle swamps,tin cans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000016,Presence,,,natural ground pools,artifical containers,seacoast,inland mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000017,Presence,,,treeholes,coconut shells,plant axils,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000017,Absence,,,ground pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000018,Presence,,,rock pools,coral,ground seepage pools,deep well,barrels,tank,native canoes,metal cistern,tin cans,hole in coconut trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000019,Presence,,,rock pools,stream beds,ground seepage pools,treeholes,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000020,Presence,,,tropical areas,foul ground pools,ditches,large artificial container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000021,Presence,,,treeholes,coconut husks,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000022,Presence,,,rockholes,coconut husks,water drums,barrel tops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000023,Presence,,,brackish pools,freshwater swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000024,Presence,,,brackish water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000025,Presence,,,brackish water,fresh water ground pools,coral holes,canoes,artificial containers,undiluted sea water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000025,Absence,,,far from seacoast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000026                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Presence,,,ground water,permanent pools,temporary pools,standing water,flowing water,fresh water,strongly brakish water,clean water,high organic content,canoes,artifical container,open sunlit,strongly shaded pools,dense jungle swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000027,Presence,,,dense jungle swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000028,Presence,,,permanent salt-water pools,salt water marshes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000029,Presence,,,rot tree holes,stumpholes,artificial containers with leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000030,Presence,,,brackish water,permanent salt-water pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000031,Presence,,,ponds,lakes,swamps,semipermanent pools,permanent pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000032,Presence,,,overgrown vegetation semipermanent pools,overgrown vegetation permanent pools,cold clean water pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000033,Presence,,,clear seepage water,roadside pools,rice fields,partial sunlit pools,matted algal growths in water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000034,Presence,,,hoofprints in seepage areas,potholes,sluggish swamp streams,needs acidic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000035,Presence,,,permanent pools,lagoons,ponded creeks,hillside seepages,watering troughs,quiet protected streams,impounded water habitats,vegetation in shallow margins of ponds,shade preferred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000036,Presence,,,shallow pools along stream margins,pools with abundant algae and sunlight,brackish water (rare),artificial containers (rare),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000037,Presence,,,sunlit pools,sunlit eddies,sunlit drying streams,margins of slow moving streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000038,Presence,,,ponds,temporary pools,springs,borrow pits,roadside puddles,hog wallows,wheel ruts,rain-water barrels,artificial containers,cool clear water,shaded pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000039,Presence,,,permanent fresh water,sluggish streams,canals,ponds,emergent vegetation in lakes,temporary pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
