Pub_ID,Pub_Name,Year,Journal,Publisher,Volume,Issue,Pages,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20
pub0000000001,The Mosquitoes of The South Pacific (Diptera Culicidae),1962,,University of California Press-Berkeley and Los Angeles,1,,1-608,John N. Belkin,,,,,,,,,,,,,,,,,,,
pub0000000002,The Mosquitoes of North America (North of Mexico),1955,,University of California Press-Berkeley and Los Angeles,,,1-495,Stanley J. Carpenter,Walter J. LaCasse,,,,,,,,,,,,,,,,,,
pub0000000003,The Culicidae of Jamaica,1970,,Institute of Jamaica,6,1,1-458,John N. Belkin,Sandra J. Heinemann,William A. Page,,,,,,,,,,,,,,,,,
pub0000000004,Mosquito Studies (Diptera Culicidae) VII: The Culicidae of New Zealand,1968,,American Entomological Institute ,3,1,1-186,John N. Belkin,,,,,,,,,,,,,,,,,,,
pub0000000005,Mosquito studies (Diptera Culicidae). XXVIII. The new world species formerly placed in Aedes (Finlaya),1972,,American Entomological Institute ,8,3,1-206,Thomas J. Zavortink,,,,,,,,,,,,,,,,,,,
pub0000000006,Mosquito Studies (Diptera Culicidae). XXXII. A revision of the genus Haemagogus,1973,,American Entomological Institute ,10,2,1-176,J. Hal Arnell,,,,,,,,,,,,,,,,,,,
pub0000000007,Mosquito studies (Diptera Culicidae). VIII. A prodrome of the genus Orthopodomyia,1968,,American Entomological Institute ,3,2,1-222,Thomas J. Zavortink,,,,,,,,,,,,,,,,,,,
pub0000000008,A revision of the adult and larval mosquitoes of Japan (including the Ryukyu Archipelago and the Ogasawara Islands) and Korea (Diptera: Culicidae),1979,,Army Medical Lab Pacific Apo San Fransisco 96343,16,,1-988,Kazuo Tanaka,Kiyoyuki Mizusawa,Edward S. Saugstad,,,,,,,,,,,,,,,,,
pub0000000009,Mosquito studies (Diptera Culicidae). XIX. The treehole Anopheles of the new world ,1970,,American Entomological Institute ,5,2,1-35,Thomas J. Zavortink,,,,,,,,,,,,,,,,,,,
pub0000000010,Revision of the Spisspes section of Culex (Melanoconion) (Diptera:Culicidae),1996,,Journal of the American Mosquito Control Association,12,3,517-600,Maria Anice Mureb Sallum,Oswaldo Paulo Foratini,,,,,,,,,,,,,,,,,,
