Pub_ID,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,"""Form""",Record_ID,Notes
pub0000000001,Anophelinae,Null,Anopheles,Cellia,farauti,null,null,sp0000000001,
pub0000000001,Anophelinae,Null,Anopheles,Cellia,punctulatus,null,null,sp0000000002,
pub0000000001,Anophelinae,Null,Anopheles,Cellia,koliensis,null,null,sp0000000003,
pub0000000001,Anophelinae,Null,Anopheles,Cellia,lungae,null,null,sp0000000004,
pub0000000001,Anophelinae,Null,Anopheles,Cellia,nataliae,null,null,sp0000000005,
pub0000000001,Anophelinae,Null,Anopheles,Cellia,solomonis,null,null,sp0000000006,
pub0000000001,Culicinae,Uranotaeniini,Uranotaenia,Pseudoficalbia,colocasiae,null,null,sp0000000007,
pub0000000001,Culicinae,Uranotaeniini,Uranotaenia,Pseudoficalbia,quadrimaculata,null,null,sp0000000008,
pub0000000001,Culicinae,Uranotaeniini,Uranotaenia,Pseudoficalbia,painei,null,null,sp0000000009,
pub0000000001,Culicinae,Uranotaeniini,Uranotaenia,Pseudoficalbia,wysockii,null,null,sp0000000010,
pub0000000001,Culicinae,Uranotaeniini,Uranotaenia,Pseudoficalbia,sexaueri,null,null,sp0000000011,
pub0000000001,Culicinae,Uranotaeniini,Uranotaenia,Pseudoficalbia,civinskii,null,null,sp0000000012,
pub0000000001,Culicinae,Uranotaeniini,Uranotaenia,Pseudoficalbia,lateralis,null,null,sp0000000013,
pub0000000001,Culicinae,Uranotaeniini,Uranotaenia,Pseudoficalbia,barnesi,null,null,sp0000000014,
pub0000000001,Culicinae,Uranotaeniini,Uranotaenia,Pseudoficalbia,solomonis,null,null,sp0000000015,
pub0000000001,Culicinae,Culicini,Culex,Culex,pervigilans,null,null,sp0000000016,
pub0000000001,Culicinae,Culicini,Culex,Culex,pacificus,null,null,sp0000000017,
pub0000000001,Culicinae,Culicini,Culex,Culex,iyengari,null,null,sp0000000018,
pub0000000001,Culicinae,Culicini,Culex,Culex,australicus,null,null,sp0000000019,
pub0000000001,Culicinae,Culicini,Culex,Culex,quinquefasciatus,null,null,sp0000000020,
pub0000000001,Culicinae,Culicini,Culex,Culex,atriceps,null,null,sp0000000021,
pub0000000001,Culicinae,Culicini,Culex,Culex,kesseli,null,null,sp0000000022,
pub0000000001,Culicinae,Culicini,Culex,Culex,roseni,null,null,sp0000000023,
pub0000000001,Culicinae,Culicini,Culex,Culex,whittingtoni,null,null,sp0000000024,
pub0000000001,Culicinae,Culicini,Culex,Culex,sitiens,null,null,sp0000000025,
pub0000000001,Culicinae,Culicini,Culex,Culex,annulirostris,null,null,sp0000000026                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,
pub0000000001,Culicinae,Culicini,Culex,Culex,omani,null,null,sp0000000027,
pub0000000002,Anophelinae,Null,Anopheles,Anopheles,atropos,null,null,sp0000000028,
pub0000000002,Anophelinae,Null,Anopheles,Anopheles,barberi,null,null,sp0000000029,
pub0000000002,Anophelinae,Null,Anopheles,Anopheles,bradleyi,null,null,sp0000000030,
pub0000000002,Anophelinae,Null,Anopheles,Anopheles,crucians,null,null,sp0000000031,
pub0000000002,Anophelinae,Null,Anopheles,Anopheles,earlei,null,null,sp0000000032,
pub0000000002,Anophelinae,Null,Anopheles,Anopheles,freeborni,null,null,sp0000000033,
pub0000000002,Anophelinae,Null,Anopheles,Anopheles,georgianus,null,null,sp0000000034,
pub0000000002,Anophelinae,Null,Anopheles,Anopheles,occidentalis,null,null,sp0000000035,
pub0000000002,Anophelinae,Null,Anopheles,Anopheles,franciscanus,null,null,sp0000000036,
pub0000000002,Anophelinae,Null,Anopheles,Anopheles,pseudopunctipennis,null,null,sp0000000037,
