node,taxonomy_tips,backbone_tips,simulated_tips,backbone_monophyletic,simulated_monophyletic,backbone_birth,simulated_birth,backbone_death,simulated_death,warnings

AnophelesAnopheles,185,,,False,False,,,,,
AnophelesBaimaia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AnophelesCellia,225,22,225,True,True,0.5184515291822586,1.0000000282819324,0.48934345981710153,1.0000000272819323,
AnophelesChristya,2,0,2,False,True,,3.0916388528296634,,0.0,
AnophelesKerteszia,12,1,12,True,True,0.001000000001,0.12546571909458368,1.0000000010000002e-12,0.0,
AnophelesLophopodomyia,6,1,6,True,True,0.001000000001,0.16071440365117548,1.0000000010000002e-12,0.0856120806335871,
AnophelesNyssorhynchus,40,8,40,True,True,0.09315637412142212,0.13959773270411116,0.007549867585696832,0.062482774509657606,
AnophelesStethomyia,5,1,5,True,True,0.001000000001,0.2530316983121065,1.0000000010000002e-12,0.0,
Bironella,8,0,8,False,True,,0.5365086320125587,,0.45555212058019684,
BironellaBironella,2,0,2,False,True,,0.7284187563682616,,0.0,
Aedeomyiini,7,2,7,True,True,0.02081214539225031,0.07329532970167393,0.0,0.07329509431711073,
Aedeomyia,7,2,7,True,True,0.02081214539225031,0.07329532970167393,0.0,0.07329509431711073,
AedeomyiaAedeomyia,6,2,6,True,True,0.018629203596890853,0.1069163964803704,0.0,0.10691633434707826,
AedeomyiaLepiothauma,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Aedini,1257,122,1257,True,True,0.1632593725418691,0.2860982953355091,0.071633678334176,0.21002512691326508,
BironellaBrugella,3,0,3,False,True,,0.19117627891997468,,0.0,
BironellaNeobironella,3,0,3,False,True,,5.262631187872883,,0.0,
Chagasia,5,2,5,True,True,0.02529653923073038,0.13463002596060425,0.0,0.13462966325251294,
ChagasiaChagasia,5,2,5,True,True,0.02529653923073038,0.13463002596060425,0.0,0.13462966325251294,
Culicinae,3074,208,3074,True,True,0.31650749156972946,0.38644403605797906,0.2589474044229961,0.32996039403270194,
__TAXONOMIC_ROOT__,3563,259,3563,True,True,0.35404089569747826,0.3709181021281269,0.3096833302964832,0.322712137955133,
Culicidae,3563,259,3563,True,True,0.35404089569747826,0.3709181021281269,0.3096833302964832,0.322712137955133,
Anophelinae,489,51,489,True,True,0.3267271104550249,0.3798616470364661,0.3069198983149194,0.36236369603809726,
None,489,51,489,True,True,0.3267271104550249,0.3798616470364661,0.3069198983149194,0.36236369603809726,
Anopheles,476,49,476,True,True,0.31883616638506135,0.4341191418163134,0.292293004154851,0.4128673507441424,
Aedes,932,,,False,False,,,,,
AedesAbraedes,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesAcartomyia,3,0,3,False,True,,0.1411985604980318,,0.0,
AedesAedes,12,1,12,True,True,0.001000000001,0.12613234517496216,1.0000000010000002e-12,0.08951159603190205,
AedesAedimorphus,66,,,False,False,,,,,
AedesAlanstonea,2,0,2,False,True,,0.33119290855557565,,0.0,
AedesAlbuginosus,9,0,9,False,True,,0.5918370700571285,,0.3674760033141886,
AedesAyurakitia,2,0,2,False,True,,1.6825225325350137,,0.0,
AedesAztecaedes,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesBelkinius,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesBifidistylus,2,0,2,False,True,,0.18801654904010506,,0.0,
AedesBorichinda,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesBothaella,6,0,6,False,True,,0.27187894906658727,,0.0,
AedesBruceharrisonius,9,0,9,False,True,,0.1616535773584246,,0.0,
AedesCancraedes,10,0,10,False,True,,0.3264721197164131,,0.1977956093846414,
AedesCatageiomyia,28,1,28,True,True,0.001000000001,0.11696944742436655,1.0000000010000002e-12,0.0,
AedesCatatassomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesChristophersiomyia,5,0,5,False,True,,0.22706927787423217,,0.1922614774961529,
AedesCoetzeemyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesCollessius,9,0,9,False,True,,0.36652430574369865,,0.2940461348963223,
AedesCornetius,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesDahliana,3,1,3,True,True,0.001000000001,0.026758449819924125,1.0000000010000002e-12,0.0,
AedesDanielsia,3,0,3,False,True,,1.3585978888031427,,0.0,
AedesDendroskusea,5,0,5,False,True,,0.36162025487487254,,0.261900270783323,
AedesDiceromyia,8,2,8,True,True,0.08796041826824388,0.1422235451931404,0.0,0.06537301505716789,
AedesDobrotworskyius,7,5,7,True,True,0.08417849136347792,0.08434939235699232,0.0,0.0,
AedesDownsiomyia,30,0,30,False,True,,0.4620835278663392,,0.3180493184463651,
AedesEdwardsaedes,3,0,3,False,True,,0.0587365982991633,,0.0,
AedesElpeytonius,2,0,2,False,True,,0.25579315216961446,,0.0,
AedesFinlaya,64,,,False,False,,,,,
AedesFredwardsius,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesGeorgecraigius,3,3,3,True,True,0.02820558131506598,0.02820558131506598,0.0,0.0,
AedesGeoskusea,10,0,10,False,True,,0.17859251040198398,,0.05026652105823816,
AedesGilesius,2,0,2,False,True,,0.3895708873990321,,0.0,
AedesGymnometopa,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesHalaedes,3,2,3,True,True,0.14322287814189613,0.16110859562447555,0.0,0.0,
AedesHimalaius,2,0,2,False,True,,3.0003812808777566,,0.0,
AedesHopkinsius,7,0,7,False,True,,0.8808644140648222,,0.0,
AedesHowardina,34,0,34,False,True,,0.3086943593445017,,0.2457902357440345,
AedesHuaedes,3,0,3,False,True,,0.33172194135583555,,0.0,
AedesHulecoeteomyia,14,1,14,True,True,0.001000000001,0.12317827243543823,1.0000000010000002e-12,0.07326229481948851,
AedesIndusius,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesIsoaedes,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesJarnellius,5,3,5,True,True,0.07806886732217821,0.0778609399906805,0.0,0.0,
AedesJihlienius,3,0,3,False,True,,0.6306315013887532,,0.0,
AedesKenknightia,12,0,12,False,True,,1.0000000282819324,,1.0000000272819323,
AedesKompia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesLeptosomatomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesLevua,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesLewnielsenius,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesLorrainea,5,0,5,False,True,,0.9708799990075446,,0.0,
AedesLuius,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesMacleaya,11,2,11,True,True,0.07250801546520001,0.10968783257056294,0.0,0.01870778086427983,
AedesMolpemyia,3,0,3,False,True,,0.25407872525042785,,0.0,
AedesMucidus,14,1,14,True,True,0.001000000001,0.16117024961255041,1.0000000010000002e-12,0.05963491908433658,
AedesNeomelaniconion,28,0,28,False,True,,0.3081448188771266,,0.08367231854746658,
AedesNyctomyia,2,0,2,False,True,,0.47661853603415716,,0.0,
AedesOchlerotatus,200,,,False,False,,,,,
AedesParaedes,8,0,8,False,True,,0.5979309701704622,,0.0,
AedesPatmarksia,13,1,13,True,True,0.001000000001,0.114461271227214,1.0000000010000002e-12,0.0,
AedesPaulianius,8,0,8,False,True,,0.2785913725415386,,0.0,
AedesPetermattinglyius,5,0,5,False,True,,0.1806539205898911,,0.0,
AedesPhagomyia,16,0,16,False,True,,0.22380138412992467,,0.0,
AedesPolyleptiomyia,2,0,2,False,True,,0.5504703427318542,,0.0,
AedesProtomacleaya,39,4,39,True,True,0.1348934288231694,0.1089586138177088,0.0,0.016193384911987827,
AedesPseudalbuginosus,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesPseudarmigeres,5,0,5,False,True,,0.20586024497385946,,0.18391065484146615,
AedesRampamyia,3,2,3,True,True,0.0369122326227242,0.0396871429505206,0.0,0.0,
AedesRhinoskusea,4,0,4,False,True,,0.15912568446312034,,0.0,
AedesSallumia,2,0,2,False,True,,0.14967848401731332,,0.0,
AedesScutomyia,9,0,9,False,True,,0.25489819376158773,,0.0,
AedesSkusea,4,1,4,True,True,0.001000000001,0.03618189621689316,1.0000000010000002e-12,0.0,
AedesStegomyia,128,,,False,False,,,,,
AedesTanakaius,2,0,2,False,True,,0.22963941037365707,,0.0,
AedesTewarius,4,0,4,False,True,,0.10807338863139124,,0.0,
AedesVansomerenis,3,0,3,False,True,,0.2325516605092691,,0.0,
AedesZavortinkius,11,0,11,False,True,,0.17489217008301058,,0.0,
Armigeres,58,2,58,True,True,0.14651999220678696,0.36055628399702955,0.0,0.3116737762199577,
ArmigeresArmigeres,40,2,40,True,True,0.12848517749384952,0.24693118893069063,0.0,0.17327516364796622,
ArmigeresLeicesteria,18,0,18,False,True,,0.5697439661351157,,0.4502203828586362,
Eretmapodites,48,1,48,True,True,0.001000000001,0.21091626769304814,1.0000000010000002e-12,0.14261666236869602,
EretmapoditesEretmapodites,48,1,48,True,True,0.001000000001,0.21091626769304814,1.0000000010000002e-12,0.14261666236869602,
Haemagogus,28,2,28,True,True,0.09459149717101392,0.17480734565193404,0.0,0.0971039826765366,
HaemagogusConopostegus,4,1,4,True,True,0.001000000001,0.5992514945648895,1.0000000010000002e-12,0.0,
HaemagogusHaemagogus,24,1,24,True,True,0.001000000001,0.13880115950573932,1.0000000010000002e-12,0.040478131771498074,
Heizmannia,38,0,38,False,True,,0.2582810474366432,,0.0,
HeizmanniaHeizmannia,38,0,38,False,True,,0.2582810474366432,,0.0,
Opifex,2,1,2,True,True,0.001000000001,0.14737164967478425,1.0000000010000002e-12,0.0,
Opifex__subgenus__,2,1,2,True,True,0.001000000001,0.14737164967478425,1.0000000010000002e-12,0.0,
Psorophora,49,14,49,True,True,0.08151723818675818,0.09313078283732057,0.0,0.0006399053499347815,
PsorophoraGrabhamia,16,6,16,True,True,0.07120162018356656,0.0815927618742708,0.0,0.0,
PsorophoraJanthinosoma,23,5,23,True,True,0.08823313698967833,0.09755496601447326,0.0,0.0,
PsorophoraPsorophora,10,3,10,True,True,0.06856422585964195,0.08616562166399395,0.0,0.007343439949171198,
Udaya,3,0,3,False,True,,0.312340340995465,,0.0,
UdayaUdaya,3,0,3,False,True,,0.312340340995465,,0.0,
Verrallina,95,3,95,True,True,0.29764599018688376,0.42341539778411563,0.0,0.34562606465389034,
VerrallinaHarbachius,13,0,13,False,True,,0.2786605221004621,,0.0,
VerrallinaNeomacleaya,52,0,52,False,True,,0.4316238284119197,,0.3384462097596382,
VerrallinaVerrallina,30,3,30,True,True,0.2016107535850001,0.39542151660270874,0.0,0.3752070886874052,
Zeugnomyia,4,0,4,False,True,,0.4586647414470297,,0.0,
CulexAedinus,4,1,4,True,True,0.001000000001,0.2491718454398067,1.0000000010000002e-12,0.249105290038199,
CulexAfroculex,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexAllimanta,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexAnoedioporpa,12,0,12,False,True,,0.4534485534810416,,0.0,
CulexBarraudius,4,0,4,False,True,,0.17008374610711052,,0.0,
CulexBelkinomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexCarrollia,18,0,18,False,True,,0.6783080066268952,,0.4376679543681022,
CulexCulex,201,,,False,False,,,,,
CulexCuliciomyia,54,1,54,True,True,0.001000000001,0.3114486089679162,1.0000000010000002e-12,0.2666469704239039,
CulexEumelanomyia,77,0,77,False,True,,0.752387724673066,,0.5529920207597615,
CulexMicraedes,8,2,8,True,True,0.24469763952450568,0.15279733852792945,0.0,0.0,
CulexMicroculex,33,1,33,True,True,0.001000000001,0.2739032032157966,1.0000000010000002e-12,0.1682077949532327,
CulexNeoculex,26,,,False,False,,,,,
CulexNicaromyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexOculeomyia,19,2,19,True,True,0.166729725222924,0.42156591922466935,0.0,0.332486184963007,
CulexKitzmilleria,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexLasiosiphon,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexLophoceraomyia,112,2,112,True,True,0.24777926769838235,0.2773875529795231,0.0,0.16654732249324766,
